service_id,provider,service_name,context,category,free_tier,free_tier_type,free_tier_description
azure-confidential-ledger,Azure,Azure Confidential Ledger,"Temperproof, unstructured data store hosted in trusted execution environments (TEEs) and backed by cryptographically verifiable evidence. ","Security, Database",No,No free tier type,No free tier available
azure-vpn-gateway,Azure,Azure VPN Gateway,"Establish secure, cross-premises connectivity.","Security, Network",Yes,12 Months,	750 hours VpnGw1 Gateway Type
azure-web-application-firewall,Azure,Web Application Firewall ,A cloud-native Web Application Firewall (WAF) service thaht provides powerful protection for web apps.,"Security, Network",No,No free tier type,No free tier available
microsoft-azure-attestation,Azure,Microsoft Azure Attestation,A unified solution  for remotely verifying the trutworthiness of a platform and integrity of the binaries running inside it.,Security,Yes,Always,Free
azure-archive-storage,Azure,Archive Storage,Industry leading price point for storing rarely accessed data.,Storage,Yes,12 Months,"10 GB LRS storage, 10 GB LRS or GRS write and retrieval, and 100 reads"
azure-managed-lustre,Azure,Azure Managed Lustre,"Azure Managed Lustre is fully managed, cloud based parallel file system that enables customers to run their High Performance Computing (HPC) workloads in the cloud.",Storage,No,No free tier type,No free tier available
azure-backup,Azure,Azure Backup,Simplify data protection with built-in backup management at scale.,"Storage, Management and governance",No,No free tier type,No free tier available
azure-data-lake-storage,Azure,Azure Data Lake Storage,"Scalable, secure data lake for high-performance analytics.","Storage, Analytics",No,No free tier type,No free tier available
azure-data-share,Azure,Azure Data Share,A simple and safe service for sharing big data with external organizations.,"Storage, Analytics",No,No free tier type,No free tier available
azure-files,Azure,Azure Files,"Simple, secure and serverless enterprise-grade cloud file shares.",Storage,Yes,12 Months,"100 GB of LRS transaction optimized, hot, and cool files. 2 million read, list, and other file operations"
azure-storage-actions,Azure,Azure Storage Actions,Simplify storage data management at massive scale.,Storage,No,No free tier type,No free tier available
azure-netapp-files,Azure,Azure NetApp Files,"Enterprise-grade Azure file shares, powered by NetApp.",Storage,No,No free tier type,No free tier available
azure-blob-storage,Azure,Azure Blob Storage,Massively scalable and secure object storage,Storage,Yes,12 Months,"5 GB locally redundant storage (LRS) hot block with 20,000 read and 10,000 write operations"
azure-data-box,Azure,Azure Data Box,Appliances and solutions for data transfer to Azure and edge compute.,"Migration, Storage",No,No free tier type,No free tier available
azure-disk-storage,Azure,Azure Disk Storage,"High-performance, highly durable block storage.",Storage,No,No free tier type,No free tier available
azure-elastic-san,Azure,Azure Elastic SAN,Elastic SAN is a cloud-native storage Area Network (SAN) service built on Azure. Gain access to an end-to-end experience like your-on-premises SAN.,Storage,No,No free tier type,No free tier available
azure-queue-storage,Azure,Queue Storage,Effectively scale apps according to traffic.,Storage,No,No free tier type,No free tier available
azure-storage-accounts,Azure,Storage Accounts,"Durable, highly available, and massively scalable cloud storage.",Storage,No,No free tier type,No free tier available
azure-storage-explorer,Azure,Storage Explorer,View and interact with Azure Storage resources.,Storage,No,No free tier type,No free tier available
azure-container-storage,Azure,Azure Container Storage,Manage persistent volumes for stateful container applications.,"Storage, Containers",Yes,Always,This service will offer a free tier for deployments with storage pool capacity under 5 TiB. ​
azure-application-gateway,Azure,Azure Application Gateway,Azure Application Gateway enables you to build highly scalable and available web sites by providing HTTP load balancing and delivery control.,Network,No,No free tier type,No free tier available
azure-expressroute,Azure,Azure ExpressRoute,"Experience a fast, reliable, and private connection to Azure.","Network, Hybrid + Multicloud",No,No free tier type,No free tier available
azure-content-delivery-network,Azure,Azure Content Delivery Network,"Fast, reliable content delivery network with global reach.","Network, Web, Media",No,No free tier type,No free tier available
azure-route-server,Azure,Azure Route Server,Enable network appliances to exchange routes dynamically with virtual networks in azure.,Network,No,No free tier type,No free tier available
azure-network-function-manager,Azure,Azure Network Function Manager,Extend Azure management for deploying 5G and SD-WAN network functions on edge devices.,Network,No,No free tier type,No free tier available
azure-virtual-network-manager,Azure,Azure Virtual Network Manager,Centrally manage virtual networks in Azure from a single pane of glass.,Network,No,No free tier type,No free tier available
azure-nat-gateway,Azure,Azure NAT Gateway,"Provide highly reliable, secure, and scalable outbound connectivity to the internet.",Network,No,No free tier type,No free tier available
azure-programmable-connectivity,Azure,Azure Programmable Connectivity,Simplify network API management across multiple operator networks globally with a unified interface.,"Network, Hybrid + Multicloud",No,No free tier type,No free tier available
azure-private-link,Azure,Azure Private Link,"Private access to services hosted on the Azure platform, keeping your data on the microsoft network.",Network,Yes,Always,Free
azure-network-watcher,Azure,Azure Network Watcher,Network performance monitoring and diagnostics solution.,"Network, Management and governance",Yes,Always,"5 GB storage with 1,000 checks, 10 tests, and 10 connection metrics"
azure-traffic-manager,Azure,Azure Traffic Manager,Route incoming traffic for high performance and availability.,"Network, Management and governance",No,No free tier type,No free tier available
azure-virtual-network,Azure,Azure Virtual Network,Create your own private network infrastructure in the cloud.,Network,Yes,Always,50 Virtual Networks
azure-virtual-wan,Azure,Azure Virtual WAN,Optimize and automate branch to branch connectivity through Azure.,Network,No,No free tier type,No free tier available
azure-load-balancer,Azure,Azure Load Balancer,Deliver high availability and network performance to your apps.,Network,Yes,12 Months,"750 hours, 15 GB of data processing, and up to five rules with Standard Load Balancer"
azure-managed-redis,Azure,Azure Managed Redis,"Take advantage of a fully managed, in-memory database with the latest Redis innovations.",Database,No,No free tier type,No free tier available
azure-cache-for-redis,Azure,Azure Cache for Redis,"Accelerate apps with high-throughput, low-latency data caching.",Database,No,No free tier type,No free tier available
azure-data-factory,Azure,Azure Data Factory,"Hybrid data integration at enterprise scale, made easy.","Database, Analytics",Yes,Always,5 low-frequency activities
azure-database-for-mariadb,Azure,Azure Database for MariaDB,"Deploy applications to the cloud with enterprise-ready, fully managed community MariaDB.",Database,No,No free tier type,No free tier available
azure-database-for-mysql,Azure,Azure Database for MySQL,Fully managed scalable MySQL Database.,Database,Yes,12 Months,"750 hours of Flexible Server—Burstable B1MS Instance, 32 GB storage, and 32 GB backup storage."
azure-database-for-postgresql,Azure,Azure Database for PostgreSQL,"Fully managed, intelligent, and scalable PostgreSQL","Database, Hybrid + Multicloud",Yes,12 Months,"750 hours of Flexible Server—Burstable B1MS Instance, 32 GB storage, and 32 GB backup storage"
azure-database-migration-service,Azure,Azure Database Migration Service,Accelerate your data migration to Azure,"Database, Migration",Yes,Always,Free Standard Compute
azure-sql,Azure,Azure SQL,"Migrate, modernize, and innovate on the modern SQL family of cloud databases.",Database,No,No free tier type,No free tier available
azure-sql-database,Azure,Azure SQL Database,Build apps that scale with managed and intelligent SQL database in the cloud.,"Database, Hybrid + Multicloud",Yes,Always,"Get up to 10 databases with 100,000 vCore seconds of serverless tier and 32 GB of storage each"
azure-sql-edge,Azure,Azure SQL Edge,Consume services privately on Azure Platform.,"Database, Hybrid + Multicloud, Internet of Things",No,No free tier type,No free tier available
azure-sql-managed-instance,Azure,Azure SQL Managed Instance,"Modernize SQL Server applications with a managed, always-up-to-date SQL instance in the cloud.",Database,Yes,12 Months,750 vCore hours per month with 32 GB of storage
azure-table-storage,Azure,Table Storage,NoSQL key-value store using semi-structured datasets.,Database,No,No free tier type,No free tier available
azure-managed-instance-for-apache-cassandra,Azure,Azure Managed Instance for Apache Cassandra,Modernize Cassandra data clusters with a managed instance in the cloud.,Database,No,No free tier type,No free tier available
azure-cosmos-db,Azure,Azure Cosmos DB,"Build or modernize scalable, high-performance apps.","Database, Internet of Things",Yes,12 Months / Always,"400 request units per-second provisioned throughput with 25 GB storage / 1,000 request units per-second provisioned throughput with 25 GB storage"
azure-sdks,Azure,SDKs,Get the SDKs and command-line tools you need,Developer Tools,No,No free tier type,No free tier available
azure-visual-studio,Azure,Visual Studio,Powerful and flexible environment to develop apps in the cloud.,Developer Tools,No,No free tier type,No free tier available
azure-visual-studio-code,Azure,Visual Studio Code,"A Powerful, lightweight code editor for cloud development.",Developer Tools,Yes,Always,Free
azure-managed-confidential-consortium-framework-ccf,Azure,Azure Managed Confidential Consortium Framework (CCF),"Build Enterprise-grade, consortium-style stateful services and decentralized-trust applications with a common source of truth.",Developer Tools,No,No free tier type,No free tier available
azure-trusted-signing,Azure,Trusted Signing ,"Secure your applications with a fully managed end-to-end signing service for code, documents, applications, and more.",Developer Tools,No,No free tier type,No free tier available
azure-artifacts,Azure,Azure Artifacts,"Create, host, and share packages with your team.",DevOps,No,No free tier type,No free tier available
azure-boards,Azure,Azure Boards,"Plan, track, and discuss work across your teams.",DevOps,No,No free tier type,No free tier available
azure-devops,Azure,Azure DevOps,"Service for teams to share code, track work, and ship software","DevOps, Developer Tools, Hybrid + Multicloud",Yes,Always,5 users with unlimited private Git repos
azure-devtest-labs,Azure,Azure  DevTest Labs,Quickly create environments using reusable templates and artifacts.,"DevOps, Developer Tools",Yes,Always,Free
azure-monitor,Azure,Azure Monitor,"Full observability into your applications, infrastructure, and network","DevOps, Management and governance",Yes,Always,See Azure Monitor pricing details for free amounts per feature
azure-pipelines,Azure,Azure Pipelines,"Continuously build, test, and deploy to any platform and cloud","DevOps, Developer Tools",No,No free tier type,No free tier available
azure-repos,Azure,Azure Repos,"Get unlimited, cloud-hosted private Git repos for your project.",DevOps,No,No free tier type,No free tier available
azure-test-plans,Azure,Azure Test Plans,Test and ship confidentialy with an exploratory test toolkit.,DevOps,No,No free tier type,No free tier available
azure-devops-tool-integrations,Azure,DevOps Tool Integrations,Use your favorite DevOps tools with Azure.,DevOps,No,No free tier type,No free tier available
github-advanced-security-for-azure-devops,Azure,Github Advanced Security for Azure DevOps,Develop securely from inception to ship.,DevOps,No,No free tier type,No free tier available
azure-managed-grafana,Azure,Azure Managed Grafana,Deploy Grafana dashboards as a fully managed Azure Service.,"DevOps, Management and governance",No,No free tier type,No free tier available
microsoft-dev-box,Azure,Microsoft Dev Box,"Streamline development with secure, ready-to-code workstations in the cloud.","DevOps, Developer Tools, Virtual Desktop Infrastructure",No,No free tier type,No free tier available
azure-load-testing,Azure,Azure Load Testing,Optimize app performance with high-scale load testing.,"DevOps, Developer Tools",No,No free tier type,No free tier available
azure-development-environments,Azure,Azure Development Environments,Quickly spin up  app infrastructure environments with project-based templates.,"DevOps, Developer Tools",No,No free tier type,No free tier available
microsoft-playwright-testing,Azure,Microsoft Playwright Testing,scalable and-to-end modern web app testing service.,"DevOps, Developer Tools, Web",No,No free tier type,No free tier available
github-enterprise,Azure,Github Enterprise,Unlock Innovation at scale with GitHub Enterprise and Microsoft Azure.,DevOps,No,No free tier type,No free tier available
github-advanced-security,Azure,GitHub Advanced Security,"Empower your developers to work better together, fix security issues faster, and reduce overall security risk.",DevOps,No,No free tier type,No free tier available
github-copilot,Azure,GitHub Copilot,"Increase software development velocity and inspire continuous innovation with GitHub Copilot, the world's most widely adopted AI developer tool.",DevOps,No,No free tier type,No free tier available
azure-arc,Azure,Azure Arc,"Secure, develop, and operate infrastructure, apps, and Azure services anywhere.",Hybrid + Multicloud,Yes,Always,"Free Azure control plane functionality for resources outside Azure, search and indexing for Azure Arc-enabled resources"
azure-operator-service-manager,Azure,Azure Operator Service Manager,"Simplify the deployment, upgrade, and management of complex operator services.",Hybrid + Multicloud,No,No free tier type,No free tier available
azure-operator-nexus,Azure,Azure Operator Nexus,Discover a hybrid platform built for mission-critical mobile network applications and can support deployment of both containerized and virtualized network functions.,Hybrid + Multicloud,No,No free tier type,No free tier available
azure-kubernetes-service-edge-essentials,Azure,Azure Kubernetes Service Edge Essentials,Azure Kubernetes Service Edge Essentials is an on-premises Kubernetes implementation of Azure Kubernetes Service (AKS) that automates running containerized applications at scale.,Hybrid + Multicloud,No,No free tier type,No free tier available
azure-stack-edge,Azure,Azure Stack Edge,"An Azure managed device that brings the compute, storage, and intelligence of azure to the edge.",Hybrid + Multicloud,No,No free tier type,No free tier available
azure-stack-hub,Azure,Azure Stack Hub,"Azure Stack Hub is sold as an integrated hardware system, with software pre-intalled on validated hardware.",Hybrid + Multicloud,No,No free tier type,No free tier available
azure-local,Azure,Azure Local,Run your production workloads anywhere on a cloud connected distributed infrastructure.,Hybrid + Multicloud,No,No free tier type,No free tier available
azure-iot-edge,Azure,Azure IoT Edge,Extend cloud intelligence and analytics to edge devices.,"Hybrid + Multicloud, Internet of Things",Yes,Always,"Free, open-source edge runtime"
azure-lab-services,Azure,Azure Lab Services,"Set up virtual labs for classes, training, hackathons, and other related scenarios.",Virtual Desktop Infrastructure,No,No free tier type,No free tier available
azure-api-management,Azure,API management,"Publish APIs to developers, partners, and employees securely and at scale.","Web, Integration, Internet of Things, Mobile",Yes,Always,1 million monthly calls free with Consumption tier
azure-maps,Azure,Azure Maps,Add location data and mapping visuals to business applicationns and solutions.,"Web, Internet of Things, Mobile",Yes,Always,"1,000 to 5,000 transactions for specific mapping and location insights features"
azure-signalr-service,Azure,Azure SignalR Service,Add real-time web functionalities easily.,Web,Yes,Always,"20 concurrent connections per unit and 20,000 messages"
azure-notification-hubs,Azure,Notification Hubs,Send push notifications to any platform from any back end.,"Web, Internet of Things, Mobile",Yes,Always,1 million push notifications with free namespace
azure-web-pubsub,Azure,Azure Web PubSub,Easily build real-time messaging web applications using WebSockets and the publish-subscribe pattern.,"Web, Integration",Yes,Always,"20,000 messages per unit per day and 20 concurrent connections per unit (1 unit max)"
azure-communication-services,Azure,Azure Communication Services,Build multichannel communication experiences.,"Web, Mobile",No,No free tier type,No free tier available
azure-fluid-relay,Azure,Azure Fluid Relay,Easily add real-time collaborative experiences to your apps with fluid.,Web,No,No free tier type,No free tier available
azure-web-app-for-contianers,Azure,Web App for Contianers,Run containerized web apps on windows and linux.,"Web, Containers",No,No free tier type,No free tier available
azure-container-apps,Azure,Azure Container Apps,Build and deploy modern apps and microservices using serverless containers.,"Web, Compute, Containers",Yes,Always,"180,000 vCPU seconds, 360,000 GiB seconds, and 2 million requests"
microsoft-entra-id-formerly-azure-ad,Azure,Microsoft Entra ID (formerly Azure AD),Synchronize on-premises directories and enable single sign-on.,Security,Yes,Always,"50,000 stored objects with single sign-on (SSO) to all cloud apps"
azure-active-directory-b2c,Azure,Azure Active Directory B2C,Consumer identity and access management in the cloud,Security,Yes,Always,"50,000 active users per month (MAU) with Azure Active Directory B2C"
microsoft-entra-external-id,Azure,Microsoft Entra External ID,Personalize and help secure access to any application for customers and partners.,Security,No,No free tier type,No free tier available
microsoft-entra-verified-id,Azure,Microsoft Entra Verified ID,"Build unique user-owned identity scenarios designed for trustworthy, secure, and efficient interactions between people and organizations.",Security,No,No free tier type,No free tier available
azure-health-data-services,Azure,Azure Health Data Services,Unify and manage health data and protected health information (PHI) in the cloud.,Integration,Yes,Always,"1 GB structured and blob storage, 50,000 API requests, .5 GB transformation operations, 100,000 events"
azure-event-grid,Azure,Event Grid,Reliable event delivery at massive scale.,"Integration, Internet of Things",Yes,Always,"100,000 operations per month"
azure-logic-apps,Azure,Logic Apps,Automate the access and use of data across clouds.,"Integration, Internet of Things",Yes,Always,"4,000 built-in actions with the Consumption plan"
azure-services-bus,Azure,Services Bus,Connect across private and public cloud environments.,Integration,No,No free tier type,No free tier available
microsoft-energy-data-services,Azure,Microsoft Energy Data Services,Accelerate your journey to energy data modernization and digital transformation.,Integration,No,No free tier type,No free tier available
microsoft-azure-data-manager-for-agriculture,Azure,Microsoft Azure Data Manager for Agriculture,"Azure Data Manager for Agriculture extends the Microsoft Intelligent Data Platform with industry-specific data connectors and capabilities to bring together farm data from disparate sources, enabling organizations to leverage high quality datasets and accelerate the development of digital agriculture solutions.",Integration,No,No free tier type,No free tier available
azure-analysis-services,Azure,Azure Analysis Services,Enterprise-grade analytics engine as a service.,Analytics,No,No free tier type,No free tier available
azure-data-explorer,Azure,Azure Data Explorer,Fast and highly scalable data exploration service.,Analytics,No,No free tier type,No free tier available
azure-stream-analytics,Azure,Azure Stream Analytics,Real-time analytics on fast-moving streaming data.,"Analytics, Internet of Things",No,No free tier type,No free tier available
azure-synapse-analytics,Azure,Azure Synapse Analytics,Limitless analytics with unmatched time to insight.,Analytics,No,No free tier type,No free tier available
azure-data-catalog,Azure,Data Catalog,Get more value from your enterprise data assets.,Analytics,Yes,Always,Unlimited users
azure-data-lake-analytics,Azure,Data Lake Analytics,Distributed analytics service that makes big data easy.,Analytics,No,No free tier type,No free tier available
azure-event-hubs,Azure,Event Hubs,Receive telemetry from millions of devices.,Analytics,No,No free tier type,No free tier available
azure-hdinsight,Azure,HDInsight,"Provision cloud Hadoop, Spark, R Server, Hbase, and Storm clusters.",Analytics,No,No free tier type,No free tier available
power-bi-embedded,Azure,Power BI Embedded,White label Power BI to quickly and easily provide exceptional customer facing dashboards and analyti,Analytics,No,No free tier type,No free tier available
microsoft-graph-data-connect,Azure,Microsoft Graph Data Connect,"A secure, high-throughput connector designed to copy select Microsoft 365 productivity datasets into your Azure tenant.",Analytics,No,No free tier type,No free tier available
azure-chaos-studio,Azure,Azure Chaos Studio,Improve application resilience by simulating outages and other disruptions through fault injection.,"Analytics, Management and governance",No,No free tier type,No free tier available
microsoft-fabric,Azure,Microsoft Fabric,"Reshape how everyone accesses, manages, and acts on data and insights by connecting every data source and analytics service together on a single, AI-powered platform.",Analytics,No,No free tier type,No free tier available
microsoft-purview,Azure,Microsoft Purview,"Govern, protect, and manage your data estate.","Security, Analytics, Management and governance",No,No free tier type,No free tier available
zure-hdinsight-on-azure-kubernetes-service-aks,Azure,Azure HDInsight on Azure Kubernetes Service (AKS),Deploy open-source analytics workloads and simplify container management in the cloud.,Analytics,No,No free tier type,No free tier available
